pincode,latitude,longitude
160061,30.7372,76.7872
160101,30.7372,76.7872
160106,30.7372,76.7872
171001,31.1167,77.175
171002,31.1167,77.175
171003,31.1167,77.175
171004,31.1167,77.175
171006,31.1167,77.175
171007,31.1333,77.2333
171008,31.1,77.1167
171009,31.1167,77.175
171010,31.9667,76.85
171011,31.9667,76.85
171012,31.9667,76.85
171013,31.9667,76.85
171016,31.9667,76.85
171017,31.9667,76.85
171020,31.4,77.0667
171101,31.2545,77.3758
171102,31.2545,77.3758
171103,31.2545,77.3758
171108,31.2545,77.3758
171201,31.1167,77.35
171202,31.1167,77.5333
171203,31.1417,77.575
171204,31.1417,77.575
171205,31.1167,77.6667
171206,31.1417,77.575
171207,31.2167,77.75
171208,31.1417,77.575
171209,31.1417,77.575
171210,31.2167,77.4778
171211,31.2167,77.4778
171212,31.2167,77.4167
171213,31.2667,77.45
171214,31.2167,77.4778
171215,31.2167,77.4778
171216,31.2167,77.4778
171217,31.2167,77.4778
171218,31.1667,77.5667
171219,31.2167,77.4778
171302,31.3833,77.2
171303,31.3833,77.2
171304,31.3833,77.2
171305,31.3833,77.2
171306,31.3833,77.2
172002,31.3944,77.5056
172021,31.4083,77.425
172022,31.4083,77.425
172023,31.4083,77.425
172024,31.4083,77.425
172025,31.3833,77.4333
172026,31.4333,77.4167
172027,31.4083,77.425
172030,31.3667,77.6667
172032,31.3667,77.6667
172033,31.3667,77.6667
172035,31.3667,77.6667
172036,31.3667,77.6667
172101,31.2489,77.0944
172102,31.3996,77.8648
172103,31.3996,77.8648
172104,31.3996,77.8648
172105,31.3996,77.8648
172106,31.4167,78.25
172107,31.3996,77.8648
172108,31.5333,78.25
172109,31.3996,77.8648
172110,32.0833,78.3833
172111,32.0833,78.3833
172112,32.0833,78.3833
172113,32.0833,78.3833
172114,32.0833,78.3833
173001,30.55,77.3
173002,30.55,77.3
173003,30.55,77.3
173004,30.55,77.3
173020,30.5944,77.4111
173021,30.5944,77.4111
173022,30.6167,77.4333
173023,30.5944,77.4111
173024,30.7167,77.1833
173025,30.45,77.6167
173026,30.5944,77.4111
173027,30.5944,77.4111
173028,30.5944,77.4111
173029,30.5944,77.4111
173101,30.85,77.3
173102,30.85,77.3
173103,30.85,77.3
173104,30.85,77.3
173201,31.0069,76.9749
173202,31.0069,76.9749
173203,31.0069,76.9749
173204,30.8989,76.9647
173206,30.9719,76.9933
173208,31.15,76.9667
173209,31.0069,76.9749
173210,30.8833,77.05
173211,30.9833,77.13
173212,30.9833,77.13
173213,30.9833,77.13
173214,30.9833,77.13
173215,30.9833,77.1167
173216,31.0167,77.1833
173217,30.9833,77.1833
173218,30.9833,77.13
173219,31.05,77.1167
173220,31.2042,77.0581
173221,31.2042,77.0581
173222,31.2042,77.0581
173223,31.2042,77.0581
173224,31.2042,77.0581
173225,31.2042,77.0581
173227,31.2042,77.0581
173228,31.2042,77.0581
173230,31.0157,77.0703
174001,31.3083,76.4542
174004,31.3083,76.4542
174010,31.3083,76.4542
174011,31.3083,76.4542
174012,31.3083,76.4542
174021,31.3083,76.4542
174022,31.3083,76.4542
174027,31.3083,76.4542
174028,31.3083,76.4542
174029,31.3083,76.4542
174030,31.3083,76.4542
174031,31.3083,76.4542
174032,31.3083,76.4542
174033,31.3083,76.4542
174034,31.3083,76.4542
174035,31.3083,76.4542
174101,31.05,76.7167
174102,31.05,76.7167
174103,31.05,76.7167
174201,31.3833,76.45
174301,31.3667,76.3167
174302,31.4,76.325
174303,31.4,76.325
174304,31.4,76.325
174305,31.4,76.325
174306,31.4333,76.3333
174307,31.4,76.325
174308,31.4,76.325
174309,31.4,76.325
174310,31.4,76.325
174311,31.4,76.325
174312,31.4,76.325
174313,31.4,76.325
174315,31.4,76.325
174402,31.3083,76.4542
174403,31.3083,76.4542
174404,31.3083,76.4542
